# schema_version=growth_dislocation_universe.v2
# SPY holdings=As of 18-Aug-2026; source=https://www.ssga.com/library-content/products/fund-data/etfs/us/holdings-daily-us-en-spy.xlsx
# NDX retrieved_at=2026-08-20; source=https://www.nasdaq.com/products/global-indexes/nasdaq-100/companies
# IWM holdings=Aug 18, 2026; source=https://www.ishares.com/us/products/239710/ishares-russell-2000-etf/latest-holdings.csv
# classification=subindustry unavailable from official holdings; sector used as the explicit crowding fallback
# growth_theme=curated issuer-level optionality taxonomy; blank is not a negative sector judgment
symbol,provider_symbol,company,sector,subindustry,classification_level,sector_benchmark,memberships,growth_theme
AVLN,AVLN,AVALYN PHARMA INC,Health Care,Health Care,sector,XLV,IWM
AVNT,AVNT,AVIENT CORP,Materials,Materials,sector,XLB,IWM
AVNW,AVNW,AVIAT NETWORKS INC,Information Technology,Information Technology,sector,IWM,IWM
AVO,AVO,MISSION PRODUCE INC,Consumer Staples,Consumer Staples,sector,XLP,IWM
AVPT,AVPT,AVEPOINT CLASS A,Information Technology,Information Technology,sector,IWM,IWM
AVR,AVR,ANTERIS TECHNOLOGIES GLOBAL CORP,Health Care,Health Care,sector,XLV,IWM
AVTX,AVTX,AVALO THERAPEUTICS INC,Health Care,Health Care,sector,XLV,IWM
AVXL,AVXL,ANAVEX LIFE SCIENCES CORP,Health Care,Health Care,sector,XLV,IWM
AVY,AVY,AVERY DENNISON CORP,Materials,Materials,sector,XLB,SPY
AWK,AWK,AMERICAN WATER WORKS CO INC,Utilities,Utilities,sector,XLU,SPY
AWR,AWR,AMERICAN STATES WATER,Utilities,Utilities,sector,XLU,IWM
AX,AX,AXOS FINANCIAL,Financials,Financials,sector,XLF,IWM
AXGN,AXGN,AXOGEN,Health Care,Health Care,sector,XLV,IWM
AXON,AXON,AXON ENTERPRISE INC,Industrials,Industrials,sector,XLI,NDX|SPY
AXP,AXP,AMERICAN EXPRESS CO,Financials,Financials,sector,XLF,SPY
AXTI,AXTI,AXT,Information Technology,Information Technology,sector,IWM,IWM
AZO,AZO,AUTOZONE INC,Consumer Discretionary,Consumer Discretionary,sector,XLY,SPY
AZTA,AZTA,AZENTA,Health Care,Health Care,sector,XLV,IWM
AZZ,AZZ,AZZ INC,Industrials,Industrials,sector,XLI,IWM
BA,BA,BOEING CO/THE,Industrials,Industrials,sector,XLI,SPY
BAC,BAC,BANK OF AMERICA CORP,Financials,Financials,sector,XLF,SPY
BALL,BALL,BALL CORP,Materials,Materials,sector,XLB,SPY
BALY,BALY,BALLY S,Consumer Discretionary,Consumer Discretionary,sector,XLY,IWM
BANC,BANC,BANC OF CALIFORNIA,Financials,Financials,sector,XLF,IWM
